Question,Context
What do you think about Adventures/Outdoor ?,So what’s on your adventure bucket list? Is it stuff like ‘backflip on a dirt bike’ or ‘deciding to cut a red or blue wire’? Ignoring battery alerts feels adventurous
What do you think about Adventures/Outdoor ?,Did you ever read those Choose Your Own Adventure books? I'd always keep my fingers in alternate endings just in case.
What do you think about Adventures/Outdoor ?,So do you like to read adventure books when you’re out on a trip? it’s a great way to really relate to what the character is going through
What do you think about Adventures/Outdoor ?,What would you think about going on a national park tour? We could give out 3/4-Star reviews on Yelp depending on how many big rocks they each have..
What do you think about Adventures/Outdoor ?,"So for an adventure theme song, would you go for the Legend of Zelda hero’s journey or that hurry-up music that plays in Super Mario?"
What do you think about Adventures/Outdoor ?,"As far as at-home adventures go, is anything close to popping bubble wrap? Closing out browser tabs and deleting emails are a close 2nd.."
What do you think about Adventures/Outdoor ?,"Speaking of adventures, my therapist told me to “take risks and challenge the norm,” so I moved my whole bed to the living room and she’s right, this is really rewarding"
What do you think about Animals-General ?,Do you think we could teach that goat to sing some Taylor Swift songs?
What do you think about Animals-General ?,What do you think alligators are smiling at all the time?
What do you think about Animals-Dog ?,So how do I get on your dog’s good side?
What do you think about Animals-Dog ?,Do you think dogs get high while training to be a drug sniffing dog?
What do you think about Animals-Dog ?,I like telling new dogs I just meet that they could model
What do you think about Animals-Dog ?,"So do you think the ultimate dog job would be to star in the new Air Bud movie, or make the ‘Top 10 dogs in blankets who look like tacos” Buzzfeed list?"
What do you think about Animals-Dog ?,"So do you ever see someone with a great dane and think, we get it..you have a big apartment?"
What do you think about Animals-Dog ?,"So do you feed your dog super fancy meals, like chicken bone infused ice cream for dessert?"
What do you think about Animals-Dog ?,So do you think bulldogs are just better skateboarders than all other dogs? Or is it that people who skateboard only own bulldogs..
What do you think about Animals-Dog ?,"So as someone who loves dogs, do you think the Incredible Journey is realistic? Or would a more credible journey be getting to a food dish 5 feet away.."
What do you think about Animals-Dog ?,Do you ever speed up when running through a dog park just to see if you can impress them?
What do you think about Animals-Dog ?,So is the absolute highest plane of existence is when you have dog who walks off leash with you?
What do you think about Animals-Dog ?,So do you feel guilty if you go to the beach and your dog doesn’t come..like he knows the second you walk into the door?
What do you think about Animals-Dog ?,"Beans & Beagles - my book, hitting the shelves, about a dog and his burrito."
What do you think about Animals-Dog ?,"Is your dog a great couch buddy? I’m great at balancing a wine glass on the couch like I’m in a mattress commercial, so dogs usually love me"
What do you think about Animals-Cat ?,"So is your cat friendly, or do you have to keep the place cold just so they’re forced to cuddle?"
What do you think about Animals-Cat ?,"Do you ever sing K-Ci & Jojo's ""All My Life"" while substituting your cats name every third word?"
What do you think about Animals-Cat ?,I’d love if laser tag had cats running around to chasing the lasers.
What do you think about Animals-Cat ?,"""Meow That's What I Call Music"""
What do you think about Animals-Cat ?,"I want a pet sitting service called ""Fast and the Furriest"""
What do you think about Animals-Bird ?,Do  you think pigeons line the rooftops of apartments because they think traffic is just an everyday parade for them?
What do you think about Animals-Bird ?,Do you think we could find any birds sarcastically chirping the melody to that Nelly Fertado song?
What do you think about Animals-Bird ?,"So whenever you use binoculars, do you secretly hope that a hawk/eagle will be piercingly staring back?"
What do you think about Animals-Bird ?,"So if we had parrots, do you think we could teach them to sing songs from Grease or give psychic readings?"
What do you think about Animals-Bug ?,"Do you think spiders are into bondage? There’s one that keeps putting a web in my shower, but I keep telling it it’s not gonna happen.."
What do you think about Animals-Bug ?,"So do you try and kill a rogue spider while another is around,  just so they’ll live to tell the tale to the others?"
What do you think about Animals-Bug ?,But don’t you think bees who die after they sting you are the only ones doing yolo right?
What do you think about Animals-Bug ?,The 100 meter butterfly at the Olympics is not as terrifying as it sounds
What do you think about Animals-Bug ?,"Like a caterpillar turning into a butterfly, I become more beautiful with each glass of wine."
What do you think about Animals-Bug ?,"So if you time-travelled, would you step on a butterfly and change the past?"
What do you think about Animals-Bug ?,See a butterfly hatching from it’s caterpillar cocoon and think that was the most beautiful they experienced UNTIL NOW
What do you think about Animals-Camel ?,"Do you think it’d be great riding a camel through SF, because it would just spit at anyone who cut you off?"
What do you think about Animals-Camel ?,"Did you stay on the donkey long enough to play “Let Me Ride that Donkey"" on max volume? b/c that would be very spiritual"
What do you think about Animals-Chicken ?,So do you think “Wind Beneath My Wings” was originally written about eating too many chicken wings..
What do you think about Animals-Chicken ?,"Do you think we could get four chickens to do an all-clucking rendition of The Lumineers' ""Ho Hey”?"
What do you think about Animals-Cow ?,Do you think a cows' ability to sleep standing up would come in handy on busses?
What do you think about Animals-Dinosour ?,Isn't it crazy that no one really knows what dinosaurs sound like it's all specula--
What do you think about Animals-Dinosour ?,#NAME?
What do you think about Animals-Elephant ?,"So instead of never forgetting, do you think it’s possible that elephants just keep extremely detailed notes?"
What do you think about Animals-Giraffe ?,Do you think giraffes get really sore shoulders? I'll bet they'd love a one of those Theraguns
What do you think about Animals-Giraffe ?,Do you think the worst thing about being a giraffe is that your coffee gets cold by the time it reaches your stomach
